Date,Centre_Name,Commodity_Name,Price
01-01-09,CHANDIGARH,Onion,NA
01-01-09,DELHI,Onion,1025
01-01-09,SHIMLA,Onion,NA
01-01-09,SRINAGAR,Onion,NA
01-01-09,JAMMU,Onion,NA
01-01-09,AMRITSAR,Onion,1200
01-01-09,LUDHIANA,Onion,1200
01-01-09,LUCKNOW,Onion,NA
01-01-09,DEHRADUN,Onion,NA
01-01-09,RAIPUR,Onion,NA
01-01-09,AHMEDABAD,Onion,NA
01-01-09,BHOPAL,Onion,1000
01-01-09,MUMBAI,Onion,NA
01-01-09,JAIPUR,Onion,1000
01-01-09,PATNA,Onion,NA
01-01-09,RANCHI,Onion,NA
01-01-09,BHUBANESHWAR,Onion,1600
01-01-09,KOLKATA,Onion,NA
01-01-09,GUWAHATI,Onion,NA
01-01-09,SHILLONG,Onion,NA
01-01-09,AIZWAL,Onion,NA
01-01-09,KOHIMA,Onion,NA
01-01-09,AGARTALA,Onion,NA
01-01-09,BENGALURU,Onion,800
01-01-09,T.PURAM,Onion,NA
01-01-09,CHENNAI,Onion,NA
01-01-09,HYDERABAD,Onion,NA
02-01-09,CHANDIGARH,Onion,NA
02-01-09,DELHI,Onion,NA
02-01-09,SHIMLA,Onion,NA
02-01-09,SRINAGAR,Onion,NA
02-01-09,JAMMU,Onion,NA
02-01-09,AMRITSAR,Onion,1200
02-01-09,LUDHIANA,Onion,1200
02-01-09,LUCKNOW,Onion,NA
02-01-09,DEHRADUN,Onion,NA
02-01-09,RAIPUR,Onion,NA
02-01-09,AHMEDABAD,Onion,NA
02-01-09,BHOPAL,Onion,NA
02-01-09,MUMBAI,Onion,NA
02-01-09,JAIPUR,Onion,1000
02-01-09,PATNA,Onion,NA
02-01-09,RANCHI,Onion,NA
02-01-09,BHUBANESHWAR,Onion,1600
02-01-09,KOLKATA,Onion,NA
02-01-09,GUWAHATI,Onion,NA
02-01-09,SHILLONG,Onion,NA
02-01-09,AIZWAL,Onion,NA
02-01-09,KOHIMA,Onion,NA
02-01-09,AGARTALA,Onion,NA
02-01-09,BENGALURU,Onion,800
02-01-09,T.PURAM,Onion,NA
02-01-09,CHENNAI,Onion,1200
02-01-09,HYDERABAD,Onion,NA
05-01-09,CHANDIGARH,Onion,NA
05-01-09,DELHI,Onion,1150
05-01-09,SHIMLA,Onion,NA
05-01-09,SRINAGAR,Onion,NA
05-01-09,JAMMU,Onion,NA
05-01-09,AMRITSAR,Onion,1600
05-01-09,LUDHIANA,Onion,1800
05-01-09,LUCKNOW,Onion,NA
05-01-09,DEHRADUN,Onion,NA
05-01-09,RAIPUR,Onion,NA
05-01-09,AHMEDABAD,Onion,NA
05-01-09,BHOPAL,Onion,NA
05-01-09,MUMBAI,Onion,NA
05-01-09,JAIPUR,Onion,NA
05-01-09,PATNA,Onion,NA
05-01-09,RANCHI,Onion,NA
05-01-09,BHUBANESHWAR,Onion,1600
05-01-09,KOLKATA,Onion,NA
05-01-09,GUWAHATI,Onion,NA
05-01-09,SHILLONG,Onion,NA
05-01-09,AIZWAL,Onion,NA
05-01-09,KOHIMA,Onion,NA
05-01-09,AGARTALA,Onion,NA
05-01-09,BENGALURU,Onion,NA
05-01-09,T.PURAM,Onion,NA
05-01-09,CHENNAI,Onion,1500
05-01-09,HYDERABAD,Onion,NA
06-01-09,CHANDIGARH,Onion,NA
06-01-09,DELHI,Onion,1150
06-01-09,SHIMLA,Onion,NA
06-01-09,SRINAGAR,Onion,NA
06-01-09,JAMMU,Onion,NA
06-01-09,AMRITSAR,Onion,1600
06-01-09,LUDHIANA,Onion,1800
06-01-09,LUCKNOW,Onion,NA
06-01-09,DEHRADUN,Onion,NA
06-01-09,RAIPUR,Onion,NA
06-01-09,AHMEDABAD,Onion,NA
06-01-09,BHOPAL,Onion,NA
06-01-09,MUMBAI,Onion,NA
06-01-09,JAIPUR,Onion,NA
06-01-09,PATNA,Onion,NA
06-01-09,RANCHI,Onion,NA
06-01-09,BHUBANESHWAR,Onion,1600
06-01-09,KOLKATA,Onion,NA
06-01-09,GUWAHATI,Onion,NA
06-01-09,SHILLONG,Onion,NA
06-01-09,AIZWAL,Onion,NA
06-01-09,KOHIMA,Onion,NA
